"STUB,C,150","ITEM,C,10","SEGMENT,C,10"
     White; American Indian and Alaska Native; Some other race,P0020035,P1
     White; Asian; Native Hawaiian and Other Pacific Islander,P0020036,P1
     White; Asian; Some other race,P0020037,P1
     White; Native Hawaiian and Other Pacific Islander; Some other race,P0020038,P1
     Black or African American; American Indian and Alaska Native; Asian,P0020039,P1
     Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020040,P1
     Black or African American; American Indian and Alaska Native; Some other race,P0020041,P1
     Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0020042,P1
     Black or African American; Asian; Some other race,P0020043,P1
     Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0020044,P1
     American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020045,P1
     American Indian and Alaska Native; Asian; Some other race,P0020046,P1
     American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0020047,P1
     Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020048,P1
Population of four races,P0020049,P1
     White; Black or African American; American Indian and Alaska Native; Asian,P0020050,P1
     White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020051,P1
     White; Black or African American; American Indian and Alaska Native; Some other race,P0020052,P1
     White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0020053,P1
     White; Black or African American; Asian; Some other race,P0020054,P1
     White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0020055,P1
     White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020056,P1
     White; American Indian and Alaska Native; Asian; Some other race,P0020057,P1
     White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0020058,P1
     White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020059,P1
     Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020060,P1
     Black or African American; American Indian and Alaska Native; Asian; Some other race,P0020061,P1
     Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0020062,P1
     Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020063,P1
     American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020064,P1
Population of five races,P0020065,P1
     White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0020066,P1
     White; Black or African American; American Indian and Alaska Native; Asian; Some other race,P0020067,P1
     White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0020068,P1
     White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020069,P1
     White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020070,P1
     Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020071,P1
Population of six races,P0020072,P1
     White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0020073,P1
,,
PL3.  RACE FOR THE POPULATION 18 YEARS AND OVER [71],,
 Universe: Total population 18 years and over,,
     Total,P0030001,P2
Population of one race,P0030002,P2
     White alone,P0030003,P2
     Black or African American alone,P0030004,P2
     American Indian and Alaska Native alone,P0030005,P2
     Asian alone,P0030006,P2
     Native Hawaiian and Other Pacific Islander alone,P0030007,P2
     Some other race alone,P0030008,P2
Population of two or more races,P0030009,P2
    Population of two races,P0030010,P2
     White; Black or African American,P0030011,P2
     White; American Indian and Alaska Native,P0030012,P2
     White; Asian,P0030013,P2
     White; Native Hawaiian and Other Pacific Islander,P0030014,P2
     White; Some other race,P0030015,P2
     Black or African American; American Indian and Alaska Native,P0030016,P2
     Black or African American; Asian,P0030017,P2
     Black or African American; Native Hawaiian and Other Pacific Islander,P0030018,P2
     Black or African American; Some other race,P0030019,P2
     American Indian and Alaska Native; Asian,P0030020,P2
     American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0030021,P2
     American Indian and Alaska Native; Some other race,P0030022,P2
     Asian; Native Hawaiian and Other Pacific Islander,P0030023,P2
     Asian; Some other race,P0030024,P2
     Native Hawaiian and Other Pacific Islander; Some other race,P0030025,P2
Population of three races,P0030026,P2
     White; Black or African American; American Indian and Alaska Native,P0030027,P2
     White; Black or African American; Asian,P0030028,P2
     White; Black or African American; Native Hawaiian and Other Pacific Islander,P0030029,P2
     White; Black or African American; Some other race,P0030030,P2
     White; American Indian and Alaska Native; Asian,P0030031,P2
     White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0030032,P2
     White; American Indian and Alaska Native; Some other race,P0030033,P2
     White; Asian; Native Hawaiian and Other Pacific Islander,P0030034,P2
     White; Asian; Some other race,P0030035,P2
     White; Native Hawaiian and Other Pacific Islander; Some other race,P0030036,P2
     Black or African American; American Indian and Alaska Native; Asian,P0030037,P2
     Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0030038,P2
     Black or African American; American Indian and Alaska Native; Some other race,P0030039,P2
     Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0030040,P2
     Black or African American; Asian; Some other race,P0030041,P2
     Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0030042,P2
     American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0030043,P2
     American Indian and Alaska Native; Asian; Some other race,P0030044,P2
     American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0030045,P2
     Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030046,P2
Population of four races,P0030047,P2
     White; Black or African American; American Indian and Alaska Native; Asian,P0030048,P2
     White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0030049,P2
     White; Black or African American; American Indian and Alaska Native; Some other race,P0030050,P2
     White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0030051,P2
     White; Black or African American; Asian; Some other race,P0030052,P2
     White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0030053,P2
     White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0030054,P2
     White; American Indian and Alaska Native; Asian; Some other race,P0030055,P2
     White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0030056,P2
     White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030057,P2
     Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0030058,P2
     Black or African American; American Indian and Alaska Native; Asian; Some other race,P0030059,P2
     Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0030060,P2
     Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030061,P2
     American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030062,P2
Population of five races,P0030063,P2
     White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0030064,P2
     White; Black or African American; American Indian and Alaska Native; Asian; Some other race,P0030065,P2
     White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0030066,P2
     White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030067,P2
     White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030068,P2
     Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030069,P2
Population of six races,P0030070,P2
     White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0030071,P2
,,
"PL4.  HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",,
 Universe: Total population 18 years and over,,
     Total,P0040001,P2
Hispanic or Latino,P0040002,P2
Not Hispanic or Latino,P0040003,P2
Population of one race,P0040004,P2
      White alone,P0040005,P2
      Black or African American alone,P0040006,P2
      American Indian and Alaska Native alone,P0040007,P2
      Asian alone,P0040008,P2
      Native Hawaiian and Other Pacific Islander alone,P0040009,P2
      Some other race alone,P0040010,P2
Population of two or more races,P0040011,P2
Population of two races,P0040012,P2
       White; Black or African American,P0040013,P2
       White; American Indian and Alaska Native,P0040014,P2
       White; Asian,P0040015,P2
       White; Native Hawaiian and Other Pacific Islander,P0040016,P2
       White; Some other race,P0040017,P2
       Black or African American; American Indian and Alaska Native,P0040018,P2
       Black or African American; Asian,P0040019,P2
       Black or African American; Native Hawaiian and Other Pacific Islander,P0040020,P2
       Black or African American; Some other race,P0040021,P2
       American Indian and Alaska Native; Asian,P0040022,P2
       American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0040023,P2
       American Indian and Alaska Native; Some other race,P0040024,P2
       Asian; Native Hawaiian and Other Pacific Islander,P0040025,P2
       Asian; Some other race,P0040026,P2
       Native Hawaiian and Other Pacific Islander; Some other race,P0040027,P2
Population of three races,P0040028,P2
       White; Black or African American; American Indian and Alaska Native,P0040029,P2
       White; Black or African American; Asian,P0040030,P2
       White; Black or African American; Native Hawaiian and Other Pacific Islander,P0040031,P2
       White; Black or African American; Some other race,P0040032,P2
       White; American Indian and Alaska Native; Asian,P0040033,P2
       White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0040034,P2
       White; American Indian and Alaska Native; Some other race,P0040035,P2
       White; Asian; Native Hawaiian and Other Pacific Islander,P0040036,P2
       White; Asian; Some other race,P0040037,P2
       White; Native Hawaiian and Other Pacific Islander; Some other race,P0040038,P2
       Black or African American; American Indian and Alaska Native; Asian,P0040039,P2
       Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0040040,P2
       Black or African American; American Indian and Alaska Native; Some other race,P0040041,P2
       Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0040042,P2
       Black or African American; Asian; Some other race,P0040043,P2
       Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0040044,P2
       American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0040045,P2
       American Indian and Alaska Native; Asian; Some other race,P0040046,P2
       American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0040047,P2
       Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040048,P2
Population of four races,P0040049,P2
       White; Black or African American; American Indian and Alaska Native; Asian,P0040050,P2
       White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0040051,P2
       White; Black or African American; American Indian and Alaska Native; Some other race,P0040052,P2
       White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0040053,P2
       White; Black or African American; Asian; Some other race,P0040054,P2
       White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0040055,P2
       White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0040056,P2
       White; American Indian and Alaska Native; Asian; Some other race,P0040057,P2
       White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0040058,P2
       White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040059,P2
       Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0040060,P2
       Black or African American; American Indian and Alaska Native; Asian; Some other race,P0040061,P2
       Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0040062,P2
       Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040063,P2
       American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040064,P2
Population of five races,P0040065,P2
       White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0040066,P2
       White; Black or African American; American Indian and Alaska Native; Asian; Some other race,P0040067,P2
       White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0040068,P2
       White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040069,P2
       White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040070,P2
       Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040071,P2
Population of six races,P0040072,P2
       White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0040073,P2
