Label,total,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Two or More Races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
Maine,1328361,1307420,1264971,15707,8568,13571,342,4261,20941,19734,4571,8729,3932,294,1203,179,101,42,305,72,10,70,74,131,21,1099,537,113,24,72,120,22,56,79,31,16,10,0,8,2,2,3,2,2,0,0,72,33,7,9,2,5,0,10,0,1,4,1,0,0,0,0,35,26,4,0,0,5,0,1,1
Maryland,5773552,5608844,3359284,1700298,20420,318853,3157,206832,164708,149827,46677,15044,32516,1394,20284,10181,6487,1433,6426,954,58,1730,1324,4486,833,13535,7343,1812,163,789,620,72,375,605,524,79,355,49,188,131,216,87,27,47,19,34,1155,644,50,220,46,69,10,35,19,6,18,13,7,1,14,3,173,124,26,6,14,1,2,18,18
Massachusetts,6547629,6375626,5265236,434398,18850,349768,2223,305151,172003,159119,38964,16108,32594,1850,34355,4942,2495,1076,16381,762,92,2385,774,4221,2120,11912,5027,931,146,1904,488,80,467,491,584,311,114,44,355,52,188,529,14,67,84,36,820,281,37,242,32,48,32,40,24,12,25,7,20,13,6,1,137,102,22,4,3,3,3,15,15
Michigan,9883640,9653321,7803120,1400362,62007,238199,2604,147029,230319,213375,72344,52202,38198,2853,22133,10006,3213,628,5092,1009,139,915,920,3340,383,15782,9698,1240,153,1046,866,149,563,769,429,76,222,38,185,98,103,45,28,25,11,38,960,491,50,180,54,33,6,76,11,8,21,5,9,7,7,2,187,150,22,1,9,3,2,15,15
Minnesota,5303925,5178780,4524062,274412,60916,214234,2156,103000,125145,115265,36912,27255,24348,1264,11584,3990,1934,389,1840,728,86,1584,836,2154,361,9238,5719,845,90,526,541,68,218,532,268,55,89,20,79,54,37,20,11,24,9,33,539,248,48,118,33,24,7,32,9,1,6,6,3,1,2,1,101,71,18,3,7,1,1,2,2
Mississippi,2967297,2933190,1754684,1098385,15030,25742,1187,38162,34107,31850,11088,6714,4205,393,3715,2209,1037,378,976,170,27,260,162,373,143,2020,932,182,51,146,149,37,80,127,72,27,51,11,34,65,22,16,7,2,7,2,170,52,6,38,18,5,1,12,3,0,3,11,0,0,20,1,64,61,3,0,0,0,0,3,3
Missouri,5988927,5864338,4958770,693391,27376,98083,6261,80457,124589,116456,39037,33738,18604,2209,10728,4594,1662,501,2201,392,85,474,717,1255,259,7467,3855,703,116,527,625,106,313,553,220,71,97,25,93,50,33,16,13,14,2,35,527,214,31,111,34,28,3,59,16,1,16,3,1,2,8,0,130,103,19,3,3,1,1,9,9
Montana,989415,964439,884961,4027,62555,6253,668,5975,24976,23672,2578,14228,3233,505,1864,415,81,10,75,168,77,211,131,70,26,1204,523,62,16,34,191,46,91,164,35,14,3,3,1,7,1,3,4,2,3,1,84,29,13,10,5,5,0,9,2,1,10,0,0,0,0,0,16,16,0,0,0,0,0,0,0
Nebraska,1826341,1786831,1572838,82885,18427,32293,1279,79109,39510,36860,11225,7587,6108,532,6937,1317,442,106,1033,157,37,536,245,413,185,2429,1151,253,32,213,122,24,176,193,92,24,31,7,39,26,15,3,7,5,10,6,193,55,18,43,23,9,3,23,7,3,3,2,0,0,0,4,28,22,0,1,0,0,5,0,0
Nevada,2700551,2574476,1786688,218626,32062,195436,16871,324793,126075,113875,19611,14235,27142,3774,27399,2476,3569,878,3370,700,210,1351,4869,3370,921,11034,2303,1177,262,673,716,147,443,3509,674,161,160,31,94,226,116,68,88,48,8,130,1011,283,54,99,139,41,15,221,29,5,91,22,4,1,5,2,148,116,15,6,2,6,3,7,7
New Hampshire,1316470,1295088,1236050,15035,3150,28407,384,12062,21382,20046,5021,6104,4949,284,2250,227,152,48,302,78,38,67,107,324,95,1255,587,109,8,142,115,10,51,128,52,9,12,3,7,4,7,6,0,5,0,0,63,32,1,6,3,6,0,12,1,1,1,0,0,0,0,0,14,13,0,0,1,0,0,4,4
New Jersey,8791894,8551591,6029248,1204826,29026,725726,3043,559722,240303,223761,49511,14965,40703,1645,60186,9312,5814,1830,15777,2963,130,4049,1874,12535,2467,15153,7051,1619,127,1890,466,66,520,442,912,314,313,55,244,95,352,234,46,163,133,111,1149,575,39,277,43,64,21,19,24,8,21,15,12,10,21,0,201,136,50,5,5,4,1,39,39
New Mexico,2059179,1982169,1407876,42550,193222,28208,1810,308503,77010,72362,7413,16705,7647,812,28241,1970,544,103,2082,530,177,3870,404,1334,530,4236,1203,259,25,351,323,55,892,395,311,98,28,12,85,23,50,12,26,53,14,21,332,103,20,81,20,11,6,29,23,5,22,3,3,0,6,0,71,57,10,0,0,3,1,9,9
New York,19378102,18792253,12740974,3073800,106906,1420244,8766,1441563,585849,542905,123455,41342,83642,4073,125731,25036,20896,5516,51132,7854,586,12869,3370,28996,8407,39250,17200,3883,355,4813,1079,149,1334,1031,1904,882,817,165,1166,386,1632,809,91,756,540,258,3172,1423,112,795,108,254,51,64,46,26,41,61,69,38,62,22,446,330,68,17,10,6,15,76,76
North Carolina,9535483,9329284,6528950,2048628,122110,208962,6604,414030,206199,189844,61973,33642,27778,2173,27790,13558,4929,1262,7789,996,193,2195,1143,3275,1148,14827,8128,1534,204,1107,760,100,468,852,439,116,283,68,216,174,181,70,15,56,22,34,1303,533,76,251,126,68,9,89,35,12,31,24,23,4,15,7,202,165,22,2,7,2,4,23,23
North Dakota,672591,660738,605449,7960,36591,6909,320,3509,11853,11251,2127,5455,1738,184,823,314,99,28,134,98,44,81,52,64,10,541,250,58,14,31,50,20,21,58,14,1,1,5,5,0,2,3,3,3,2,0,44,11,8,7,2,4,2,5,1,0,0,4,0,0,0,0,17,17,0,0,0,0,0,0,0
Ohio,11536504,11298739,9539437,1407681,25292,192233,4066,130030,237765,219767,99741,40911,33031,2165,19087,9021,3666,882,5405,627,112,706,869,2946,598,16618,10464,1555,234,1185,756,94,416,673,389,80,236,41,158,88,116,53,41,9,11,19,1147,569,69,233,47,35,17,67,12,10,38,26,4,8,10,2,215,171,28,5,4,6,1,18,18
Oklahoma,3751351,3530030,2706845,277644,321687,65076,4369,154409,221321,209404,25056,134957,12302,1232,14495,12834,1313,294,1866,888,313,2127,482,922,323,11278,6557,558,116,445,1240,159,1024,437,197,44,140,44,161,47,29,11,29,15,3,22,552,204,46,105,32,8,8,85,33,5,9,13,2,2,0,0,72,64,6,0,0,1,1,15,15
Oregon,3831074,3686315,3204614,69206,53203,141263,13404,204625,144759,132874,19302,44530,32589,4665,20237,1718,1059,280,1060,765,330,1530,2655,1563,591,10903,3442,819,149,453,1495,344,694,2437,471,110,99,30,54,59,33,10,79,46,18,61,831,265,92,82,73,23,8,192,33,11,29,13,5,1,2,2,136,114,11,0,1,9,1,15,15
Pennsylvania,12702379,12464544,10406288,1377689,26843,349088,3653,300983,237835,219364,87287,27502,36127,2279,27627,10598,4508,1491,10655,1351,134,1796,1019,5230,1760,16980,9668,1635,258,1663,549,116,406,599,574,169,303,98,260,108,224,134,19,73,78,46,1250,625,72,261,70,68,10,38,32,4,24,12,13,4,13,4,220,169,29,6,8,3,5,21,21
Rhode Island,1052567,1017780,856869,60189,6058,30457,554,63653,34787,31455,8201,3223,4432,400,6375,2029,323,115,4103,155,26,758,110,601,604,3014,1328,155,36,530,68,13,132,65,86,71,22,13,238,18,51,125,6,39,15,3,281,65,7,114,7,19,14,21,5,5,2,2,7,6,4,3,35,8,22,0,1,4,0,2,2
South Carolina,4625364,4545429,3060000,1290684,19524,59051,2706,113464,79935,74382,27432,13910,10461,935,9236,4156,2227,481,2836,301,71,473,445,1137,281,5060,2517,573,88,387,331,63,159,340,134,49,118,20,67,105,44,25,14,4,4,18,393,159,31,74,23,8,6,49,8,0,4,12,1,8,10,0,93,73,8,3,3,4,2,7,7
South Dakota,814180,796897,699392,10207,71817,7610,394,7477,17283,16392,3064,8499,1894,194,1262,602,107,25,89,173,73,219,68,94,29,853,467,53,14,30,78,18,76,65,20,4,8,1,4,7,3,0,3,0,1,1,31,8,3,3,1,2,0,10,2,0,1,0,0,0,0,1,7,7,0,0,0,0,0,0,0
Tennessee,6346105,6236096,4921948,1057315,19994,91242,3642,141955,110009,103173,36370,25649,15145,1476,12638,3492,1971,528,2381,384,73,657,533,1482,394,6177,3000,686,100,445,465,88,285,419,237,62,92,23,76,84,59,11,13,12,2,18,518,220,23,70,47,21,2,69,16,8,11,18,4,0,6,3,137,116,9,0,3,7,2,4,4
Texas,25145561,24466560,17701552,2979598,170972,964596,21656,2628186,679001,642522,109713,92305,91963,6898,240679,13834,11132,2368,28414,3690,468,13156,4945,18536,4421,33084,11065,3371,445,3544,2129,328,2852,2703,3004,705,409,120,462,426,488,178,89,343,179,244,2687,994,104,612,213,134,29,251,90,23,98,49,20,17,40,13,611,485,72,12,18,18,6,97,97
Utah,2763885,2688367,2379560,29287,32927,55285,24554,166754,75518,70121,9598,12638,15902,6885,17835,608,466,323,975,290,292,1194,1402,1082,631,4988,779,324,178,324,335,161,379,1843,320,127,27,8,15,18,22,7,38,18,14,51,353,83,19,48,28,13,0,91,19,15,23,5,0,1,2,6,54,45,1,1,2,5,0,2,2
Vermont,625741,614988,596292,6277,2207,7947,160,2105,10753,10143,2353,4535,2112,148,549,116,53,21,63,24,7,37,33,82,10,559,324,55,7,25,55,8,19,47,11,0,2,0,3,1,0,0,0,1,0,1,44,18,1,9,3,1,1,5,1,1,1,0,0,0,3,0,7,6,0,0,1,0,0,0,0
Virginia,8001024,7767624,5486852,1551399,29225,439890,5980,254278,233400,214276,62204,25771,59051,2618,27658,9746,7056,1151,7226,1115,99,2559,1943,5240,839,17461,8466,2406,234,1084,1161,99,535,1276,797,141,370,49,196,209,197,77,47,39,28,50,1424,704,56,224,97,88,10,105,18,3,41,45,15,10,6,2,209,165,32,8,2,1,1,30,30
Washington,6724540,6411614,5196362,240042,103869,481067,40475,349799,312926,282352,51624,66769,83994,9817,34488,5458,6290,1407,3251,2773,734,2261,7209,5000,1277,27664,8131,3637,612,1086,3740,679,1134,5555,1163,228,483,97,155,310,148,41,219,77,27,142,2543,991,191,245,312,77,10,480,61,9,104,28,19,6,5,5,349,289,24,5,10,19,2,18,18
West Virginia,1852994,1825852,1739988,63124,3787,12406,428,6119,27142,25650,11602,7728,3086,432,1350,592,181,52,236,66,17,36,85,163,24,1356,793,129,25,78,75,16,62,98,39,6,12,0,1,4,3,2,3,7,0,3,116,60,9,15,3,0,4,11,1,3,9,1,0,0,0,0,20,17,1,0,1,1,0,0,0
Wisconsin,5686986,5582669,4902067,359148,54526,129234,1827,135867,104317,97512,32590,22491,16578,1157,14396,3025,1032,249,2135,565,45,721,679,1500,349,6291,3492,512,67,609,329,56,346,385,201,60,60,7,75,17,29,8,4,16,3,15,429,191,31,114,20,10,8,29,5,3,4,3,5,1,4,1,77,76,0,0,1,0,0,8,8
Wyoming,563626,551265,511279,4748,13336,4426,427,17049,12361,11770,1900,4466,1737,298,2498,121,61,11,138,50,20,232,100,96,42,547,176,45,7,30,48,14,80,90,19,9,1,1,7,1,2,1,10,0,1,5,33,10,0,4,3,4,2,7,0,0,2,1,0,0,0,0,8,8,0,0,0,0,0,3,3
Puerto Rico,3725789,3603543,2825100,461498,19839,6831,370,289905,122246,109527,63552,1905,1322,324,24560,2359,494,125,10367,346,40,2385,30,639,1079,11951,7490,305,33,2778,17,6,230,14,108,324,22,11,272,7,99,97,2,72,61,3,713,30,15,564,1,40,18,2,7,4,4,6,10,5,6,1,52,25,15,9,3,0,0,3,3
